WFOID,IPNID,scientificName,authors_t,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000078591,urn:lsid:ipni.org:names:77357369-1,Medinilla constricta,(Blume) Quakenbush & Luo Chen,Taxon 74(1): 56. 2024 [5 Dec 2024] [epublished],,Melastomataceae Melastoma constrictum Blume,(Blume)
wfo-1000078592,urn:lsid:ipni.org:names:77357370-1,Medinilla glauca,(Triana) Quakenbush & Luo Chen,Taxon 74(1): 56. 2024 [5 Dec 2024] [epublished],,Melastomataceae Pachycentria glauca Triana,(Triana)
wfo-1200110572,urn:lsid:ipni.org:names:77357371-1,Medinilla glauca subsp. maingayi,(C.B.Clarke) Quakenbush & Luo Chen,Taxon 74(1): 56. 2024 [5 Dec 2024] [epublished],,Melastomataceae Medinilla maingayi C.B.Clarke,(C.B.Clarke)
wfo-1000078593,urn:lsid:ipni.org:names:77357372-1,Medinilla hanseniana,(Clausing) Quakenbush & G.Kadereit,Taxon 74(1): 57. 2024 [5 Dec 2024] [epublished],,Melastomataceae Pachycentria hanseniana Clausing,(Clausing)
wfo-1000078594,urn:lsid:ipni.org:names:77357373-1,Medinilla microsperma,(Becc.) Quakenbush & Luo Chen,Taxon 74(1): 57. 2024 [5 Dec 2024] [epublished],,Melastomataceae Pachycentria microsperma Becc.,(Becc.)
wfo-1000078595,urn:lsid:ipni.org:names:77357374-1,Medinilla microstyla,(Becc.) Quakenbush & Luo Chen,Taxon 74(1): 57. 2024 [5 Dec 2024] [epublished],,Melastomataceae Pachycentria microstyla Becc.,(Becc.)
wfo-1000078596,urn:lsid:ipni.org:names:77357375-1,Medinilla pulverulenta,(Jack) Quakenbush & Luo Chen,Taxon 74(1): 57. 2024 [5 Dec 2024] [epublished],,Melastomataceae Melastoma pulverulentum Jack,(Jack)
wfo-1000078597,urn:lsid:ipni.org:names:77357376-1,Medinilla vogelkopensis,(Clausing) G.Kadereit & Luo Chen,Taxon 74(1): 57. 2024 [5 Dec 2024] [epublished],,Melastomataceae Pachycentria vogelkopensis Clausing,(Clausing)
wfo-1000078598,urn:lsid:ipni.org:names:77357377-1,Medinilla hookeri,(Stapf) Quakenbush & Luo Chen,Taxon 74(1): 57. 2024 [5 Dec 2024] [epublished],,Melastomataceae Plethiandra hookeri Stapf,(Stapf)
wfo-1000078599,urn:lsid:ipni.org:names:77357378-1,Medinilla incognita,Quakenbush & Luo Chen,Taxon 74(1): 58. 2024 [5 Dec 2024] [epublished],,,
wfo-1000078600,urn:lsid:ipni.org:names:77357379-1,Medinilla migrans,Quakenbush & Luo Chen,Taxon 74(1): 58. 2024 [5 Dec 2024] [epublished],,,
wfo-1000078601,urn:lsid:ipni.org:names:77357380-1,Medinilla polystaminea,Quakenbush & Luo Chen,Taxon 74(1): 58. 2024 [5 Dec 2024] [epublished],,,
wfo-1000078602,urn:lsid:ipni.org:names:77357381-1,Medinilla rejangensis,(Stapf) Quakenbush & Luo Chen,Taxon 74(1): 58. 2024 [5 Dec 2024] [epublished],,Melastomataceae Plethiandra rejangensis Stapf,(Stapf)
wfo-1000078603,urn:lsid:ipni.org:names:77357382-1,Medinilla stapfii,Quakenbush & Luo Chen,Taxon 74(1): 58. 2024 [5 Dec 2024] [epublished],,,
wfo-1000078604,urn:lsid:ipni.org:names:77357383-1,Medinilla tomentosa,(G.Kadereit) G.Kadereit,Taxon 74(1): 59. 2024 [5 Dec 2024] [epublished],,Melastomataceae Plethiandra tomentosa G.Kadereit,(G.Kadereit)
wfo-1000078671,urn:lsid:ipni.org:names:77357692-1,Bertolonia crassicaulis,"Bisewski, Bacci & R.Goldenb.",Phytotaxa 691(1): 65. 2025 [3 Mar 2025] [epublished],,,
